event_date,matched,alarm_date,lead_days,event_family
2011-03-15,False,,,var_breach
2011-05-05,True,2011-05-05,0.0,var_breach
2011-05-11,True,2011-05-05,6.0,var_breach
2011-06-15,False,,,var_breach
2011-06-23,True,2011-06-23,0.0,var_breach
2011-08-03,False,,,var_breach
2011-08-08,True,2011-08-08,0.0,var_breach
2011-08-18,True,2011-08-08,10.0,var_breach
2011-09-16,True,2011-09-12,4.0,var_breach
2011-09-22,True,2011-09-19,3.0,var_breach
2011-09-28,True,2011-09-26,2.0,var_breach
2011-10-17,True,2011-09-26,21.0,var_breach
2011-11-17,False,,,var_breach
2011-12-14,True,2011-12-12,2.0,var_breach
2012-05-17,False,,,var_breach
2012-05-30,False,,,var_breach
2012-06-01,True,2012-06-01,0.0,var_breach
2012-06-20,True,2012-06-07,13.0,var_breach
2012-07-23,False,,,var_breach
2012-08-17,False,,,var_breach
2012-09-18,False,,,var_breach
2012-10-03,False,,,var_breach
2012-10-19,False,,,var_breach
2012-11-07,False,,,var_breach
2013-04-03,False,,,var_breach
2013-06-20,True,2013-06-20,0.0,var_breach
2013-09-09,False,,,var_breach
2013-10-23,True,2013-10-01,22.0,var_breach
2013-11-01,False,,,var_breach
2013-12-09,True,2013-12-04,5.0,var_breach
2014-01-02,True,2013-12-19,14.0,var_breach
2014-04-01,False,,,var_breach
2014-07-11,True,2014-06-19,22.0,var_breach
2014-08-12,True,2014-07-14,29.0,var_breach
2014-08-14,False,,,var_breach
2014-09-02,False,,,var_breach
2014-09-30,False,,,var_breach
2014-10-14,False,,,var_breach
2014-10-22,False,,,var_breach
2014-11-04,True,2014-10-30,5.0,var_breach
2014-11-12,True,2014-11-07,5.0,var_breach
2014-11-25,True,2014-11-14,11.0,var_breach
2014-11-28,True,2014-11-14,14.0,var_breach
2014-12-02,True,2014-12-01,1.0,var_breach
2014-12-08,True,2014-12-01,7.0,var_breach
2014-12-10,True,2014-12-09,1.0,var_breach
2014-12-12,True,2014-12-09,3.0,var_breach
2014-12-16,True,2014-12-16,0.0,var_breach
2014-12-22,True,2014-12-16,6.0,var_breach
2014-12-24,True,2014-12-16,8.0,var_breach
2014-12-29,True,2014-12-26,3.0,var_breach
2015-01-05,True,2014-12-26,10.0,var_breach
2015-01-12,True,2014-12-26,17.0,var_breach
2015-02-04,True,2015-01-29,6.0,var_breach
2015-02-10,True,2015-02-06,4.0,var_breach
2015-02-18,True,2015-02-06,12.0,var_breach
2015-03-02,True,2015-02-06,24.0,var_breach
2015-03-10,True,2015-03-06,4.0,var_breach
2015-03-13,True,2015-03-06,7.0,var_breach
2015-03-27,True,2015-03-19,8.0,var_breach
2015-04-02,True,2015-03-19,14.0,var_breach
2015-04-08,True,2015-03-19,20.0,var_breach
2015-07-06,True,2015-06-18,18.0,var_breach
2015-08-03,True,2015-07-20,14.0,var_breach
2015-08-24,False,,,var_breach
2015-09-01,False,,,var_breach
2015-10-12,False,,,var_breach
2015-12-02,False,,,var_breach
2015-12-07,True,2015-12-04,3.0,var_breach
2015-12-11,True,2015-12-04,7.0,var_breach
2016-01-06,True,2015-12-17,20.0,var_breach
2016-01-11,True,2015-12-17,25.0,var_breach
2016-01-19,False,,,var_breach
2016-01-25,False,,,var_breach
2016-02-02,False,,,var_breach
2016-02-09,True,2016-02-08,1.0,var_breach
2016-04-04,True,2016-03-23,12.0,var_breach
2016-06-24,True,2016-06-24,0.0,var_breach
2016-07-07,True,2016-06-24,13.0,var_breach
2017-03-08,False,,,var_breach
2017-04-19,False,,,var_breach
2017-05-04,False,,,var_breach
2017-05-25,False,,,var_breach
2017-06-07,False,,,var_breach
2017-07-05,False,,,var_breach
